id,name,address,build_year,type,jeonsae,monthly_deposit,monthly_pay,area,room_cnt,phone,lng,lat,registered_date
1,박김이,대구광역시 남구 영동대75가 (보람박이마을),1971,원룸,62303,7350,4806,102.69,4,+82 10-6165-9607,-169.494377,-31.235048,2022-09-13 00:08:47.422714
2,박김,전라남도 부여군 서초대길 (정숙김박리),2009,원룸,0,49708,431,51.34,3,+82 10-2107-3710,-146.969834,-31.8019275,2020-07-16 21:51:28.215558
3,(유) 주,충청남도 고양시 일산서구 서초중앙길,1988,아파트,0,40359,697,108.82,10,+82 10-2458-9397,157.255551,19.2228305,2023-08-31 15:27:54.664474
4,홍서박,인천광역시 강서구 역삼가 (민재황동),1982,아파트,0,0,0,118.21,6,+82 10-5401-1897,-42.096125,57.386863,2021-07-21 09:28:16.485042
5,주식회사 박최김,대전광역시 서구 석촌호수로,2020,원룸,240533,31028,2817,86.7,8,+82 10-1434-5666,-165.197265,28.8707775,2020-06-30 15:48:00.984452
6,서주,경상남도 삼척시 선릉9로,1994,원룸,23513,0,0,97.72,2,+82 10-6663-6175,77.364133,7.519930,2024-04-11 15:55:57.421304
7,(주) 황,전라북도 파주시 도산대3가 (지민김최마을),1961,원룸,483932,25022,3131,90.79,9,+82 10-5392-7980,-161.562741,19.297697,2022-09-24 07:20:00.846633
8,이서김,인천광역시 북구 테헤란4로 (민준윤김면),2017,원룸,0,0,788,104.4,5,+82 10-6677-5981,32.918332,62.4262935,2022-06-17 01:27:31.644331
9,이홍,세종특별자치시 관악구 학동484가 (민서노김면),2012,아파트,36988,47093,0,35.97,1,+82 10-2601-5963,110.439672,-36.732890,2020-07-25 16:42:59.034467
10,(유) 이,대전광역시 서구 언주597로 (현우김박마을),2004,아파트,153989,11468,735,89.93,0,+82 10-9130-7322,-103.543446,73.1680725,2020-09-08 23:58:00.062393
11,이박,부산광역시 종로구 오금가 (지혜황읍),2011,원룸,0,0,0,47.15,4,+82 10-3038-3765,98.567693,25.835166,2022-06-02 20:51:39.404273
12,김이이,대전광역시 남구 선릉233거리,1973,원룸,0,0,3270,44.63,1,+82 10-3914-1227,-85.519865,-89.177798,2024-03-30 03:04:52.396326
13,(주) 김,광주광역시 송파구 압구정477길 (우진김이리),2017,원룸,178133,32506,0,63.44,7,+82 10-6472-0279,124.722856,-11.411789,2024-05-05 09:15:48.177300
14,유한회사 이,광주광역시 동대문구 오금2거리 (하윤최읍),2011,원룸,196744,0,140,98.36,4,+82 10-3417-2813,92.777266,-76.7478255,2024-02-17 02:40:49.349456
15,김최,부산광역시 도봉구 백제고분8가 (은주허동),1995,아파트,0,0,0,136.08,0,+82 10-9231-6603,65.660778,40.9971565,2020-12-07 17:08:03.196947
16,성이,부산광역시 종로구 잠실71로,1995,아파트,498606,0,0,87.35,10,+82 10-6275-0295,132.646504,85.7614075,2020-02-08 12:31:25.819875
17,(유) 김,인천광역시 강북구 역삼길,1982,원룸,0,0,758,53.36,8,+82 10-7901-5343,74.051868,77.2290405,2021-05-16 08:46:22.181959
18,손이,강원도 용인시 테헤란930길,1989,원룸,0,0,0,24.94,1,+82 10-6341-2751,107.123468,-38.471383,2022-12-29 06:43:37.919094
19,(주) 김김김,전라북도 양양군 강남대5로,1969,원룸,0,7535,1668,144.13,9,+82 10-4269-2741,-42.825970,-6.007171,2022-09-06 16:13:55.851860
20,(유) 박김김,부산광역시 서구 언주길 (경숙서박동),2006,아파트,0,0,0,93.26,7,+82 10-2839-2459,-30.595847,-53.4371895,2022-01-31 17:20:34.715886
21,강김,대전광역시 남구 도산대거리 (상철하면),1989,원룸,5511,0,0,55.17,5,+82 10-9513-8383,-108.052312,-55.5958015,2022-02-24 13:19:22.145405
22,문이서,부산광역시 도봉구 오금46가 (하윤김마을),1974,원룸,46396,12978,0,92.61,1,+82 10-3652-2199,-81.234282,-42.150369,2021-11-07 06:28:14.934587
23,주식회사 권이서,광주광역시 동대문구 역삼45거리 (선영박읍),1971,아파트,147742,29907,0,38.27,0,+82 10-2757-2928,131.505918,-78.6738555,2023-07-12 01:22:27.950263
24,서홍,강원도 양양군 도산대36거리,2014,아파트,0,0,4011,34.14,3,+82 10-3434-1004,143.872802,-55.4839635,2023-02-10 16:43:33.283194
25,이이,서울특별시 노원구 강남대99길 (지원오이마을),2003,아파트,0,0,1977,46.11,7,+82 10-0333-0649,-122.674430,-75.432556,2024-02-09 08:03:03.687894
26,박김박,경기도 태백시 선릉로 (진우황리),1989,원룸,272028,0,2225,57.95,3,+82 10-6816-9531,167.505252,-69.1460305,2021-01-18 22:28:02.765068
27,손윤,제주특별자치도 횡성군 서초중앙로 (춘자박이마을),2002,아파트,0,32124,0,37.39,2,+82 10-6248-9659,-135.589091,66.669757,2020-02-19 01:21:37.369879
28,최오,세종특별자치시 동작구 개포로,1998,아파트,324966,35410,0,121.46,0,+82 10-5313-4741,-94.034082,45.238764,2020-01-07 03:51:26.528223
29,유한회사 송,전라남도 청주시 청원구 선릉62로,2000,원룸,0,34835,0,106.44,4,+82 10-0059-3031,-118.950165,4.3251125,2021-02-04 08:56:13.959692
30,박김김,경상북도 부여군 테헤란867거리 (동현강강동),2000,아파트,0,0,4165,29.54,6,+82 10-5478-9607,-13.450538,-51.472968,2023-07-23 01:17:51.088804
31,유한회사 박권박,세종특별자치시 동대문구 테헤란길 (성호박리),1960,원룸,29588,38048,0,81.97,3,+82 10-7204-6282,-133.005919,10.2914935,2023-05-07 19:13:45.293793
32,신김이,경기도 천안시 동남구 서초대92로 (미정황이동),1967,아파트,141800,6185,1280,53.73,0,+82 10-0593-5457,15.136422,29.513685,2023-04-08 06:37:18.308109
33,(유) 곽,부산광역시 중구 테헤란거리 (미경최마을),1963,아파트,0,0,0,69.23,7,+82 10-9637-7818,3.792536,-31.6211165,2023-01-13 13:53:53.754574
34,구김,서울특별시 강동구 석촌호수거리,1987,원룸,0,21339,708,118.86,6,+82 10-2581-4377,-141.569928,79.020566,2023-08-07 23:32:15.185547
35,서한박,전라남도 수원시 영통구 도산대길,1971,아파트,0,19810,0,75.09,3,+82 10-6465-1363,44.500805,49.483746,2023-07-02 21:20:24.235680
36,유한회사 이,부산광역시 관악구 강남대674가,1979,원룸,0,3156,0,88.99,6,+82 10-6778-4906,124.673962,24.8177395,2022-08-11 13:23:10.733647
37,이남,인천광역시 중구 압구정4길 (영수이리),1979,원룸,302784,40322,0,108.92,2,+82 10-2875-0809,-154.341538,65.794673,2021-03-10 09:10:59.345399
38,강지김,제주특별자치도 청주시 서원구 양재천길 (준혁배최동),2021,아파트,470793,39134,2439,107.34,9,+82 10-9303-6723,46.792384,-54.906894,2023-03-19 20:39:06.727001
39,김권최,서울특별시 용산구 서초중앙4로,1999,원룸,0,0,4637,149.25,7,+82 10-5367-7020,37.906189,20.606884,2023-05-01 22:40:01.522584
40,주식회사 최,강원도 구리시 서초대187거리,2011,아파트,223292,21005,0,35.4,7,+82 10-8993-7557,79.647486,85.739024,2022-11-11 17:55:27.445974
41,김김송,부산광역시 양천구 서초중앙거리,1981,아파트,0,17726,1406,60.35,2,+82 10-4006-6434,114.615917,23.4618545,2021-05-13 00:07:58.000142
42,윤송김,광주광역시 영등포구 논현거리 (혜진권동),2006,아파트,0,0,4117,135.29,6,+82 10-7920-5794,76.982694,-80.352218,2020-08-04 01:31:10.957337
43,유한회사 구,대구광역시 영등포구 강남대981길 (지후김이면),1962,아파트,0,0,4784,93.47,3,+82 10-9879-4295,-49.466291,40.7400875,2022-08-26 02:57:57.555355
44,이박,제주특별자치도 화성시 가락7가,1963,아파트,440048,28253,4691,149.48,3,+82 10-6993-9720,-63.575373,45.049123,2020-11-27 13:28:07.774828
45,최윤민,경기도 철원군 반포대54로 (예은김김리),2012,아파트,125476,0,0,144.46,9,+82 10-9261-3936,156.289366,2.459114,2021-12-13 06:01:40.102711
46,안이,세종특별자치시 강북구 서초중앙18가 (준영이리),1980,아파트,0,0,2725,77.19,0,+82 10-3915-0793,-166.345255,86.246728,2020-10-10 02:14:42.737319
47,(주) 박나김,서울특별시 강북구 테헤란7길,1976,아파트,451568,35023,0,23.22,2,+82 10-0359-6242,-108.914330,-50.325343,2021-08-25 01:52:22.727001
48,주식회사 이양백,부산광역시 북구 양재천거리 (성진정리),1961,원룸,13327,0,0,16.98,7,+82 10-5818-5023,10.704798,55.1969005,2021-03-30 07:13:36.991826
49,이황김,세종특별자치시 관악구 삼성78로 (성훈조읍),2001,원룸,0,0,0,124.16,9,+82 10-8663-7945,179.824251,-56.473381,2022-09-13 01:09:48.346388
50,유한회사 오,전라남도 김포시 서초중앙로,2017,원룸,0,47257,0,63.59,4,+82 10-9759-7538,133.294267,-54.3480665,2022-01-05 10:18:48.452544
51,(유) 김,서울특별시 중랑구 개포7거리,1987,아파트,0,45721,363,73.69,9,+82 10-1126-6810,148.551989,-24.4388415,2021-02-15 01:23:55.279179
52,(유) 곽,대전광역시 도봉구 강남대거리,1998,아파트,0,0,0,129.21,10,+82 10-0895-5155,-82.805998,59.916696,2023-01-11 16:27:44.273417
53,(유) 임안한,경상북도 안산시 상록구 영동대06거리 (옥순이전마을),1991,원룸,0,7632,388,51.16,9,+82 10-6479-4944,76.860768,-81.755226,2022-03-21 21:04:30.475579
54,김이,인천광역시 북구 영동대거리 (지은박동),2003,아파트,0,39776,0,122.74,0,+82 10-5894-3444,-118.960092,82.877865,2022-10-07 07:42:10.823842
55,(주) 이,인천광역시 용산구 압구정거리 (영희이리),2016,원룸,0,11173,3539,94.45,5,+82 10-5708-5273,-69.399985,23.991506,2023-01-11 03:22:20.716578
56,윤안,부산광역시 강남구 역삼285로 (정수박이동),1963,원룸,0,20237,4995,109.69,2,+82 10-7707-7558,37.885802,34.413811,2023-07-06 03:26:01.724793
57,고이이,전라북도 파주시 테헤란가 (순자전박읍),2003,아파트,174414,0,0,128.81,7,+82 10-5439-5872,-155.625598,56.7113055,2021-06-18 12:51:06.966196
58,(유) 서서윤,경상북도 의왕시 가락거리 (영숙고면),2003,아파트,0,0,0,101.92,10,+82 10-9282-1172,174.429310,-85.592672,2020-06-26 03:03:01.750882
59,김박강,세종특별자치시 광진구 도산대길,1972,아파트,145475,10580,492,61.3,1,+82 10-6880-2356,-105.843801,29.611581,2021-04-20 11:43:20.380360
60,문이,제주특별자치도 강릉시 개포길,1989,원룸,0,30162,0,40.87,7,+82 10-1204-0364,97.175298,-88.060084,2024-05-14 07:55:22.850817
61,김손장,서울특별시 북구 잠실거리 (도현김이읍),1963,아파트,430036,17653,1476,122.8,9,+82 10-6758-6299,162.926682,-70.3138635,2022-11-27 21:03:27.003048
62,(유) 한,전라남도 천안시 동남구 역삼거리,1967,아파트,471450,32580,1239,75.58,3,+82 10-0567-3279,-141.573241,55.222519,2020-04-14 16:08:27.333261
63,(유) 박박박,강원도 원주시 개포가,1974,아파트,164623,0,4243,115.4,9,+82 10-0204-2355,162.228225,21.155553,2020-08-11 06:57:35.578286
64,최박,울산광역시 서구 도산대가,1978,아파트,214197,0,2598,139.39,6,+82 10-7523-9142,152.726098,-6.495030,2022-12-26 03:01:56.438981
65,(유) 김,전라북도 천안시 동남구 테헤란가,2013,원룸,0,3611,2673,42.08,6,+82 10-0006-1079,42.842571,-60.3533355,2022-01-10 14:00:25.997265
66,김남,충청북도 아산시 선릉215가 (보람우면),1965,원룸,353896,13792,0,137.66,4,+82 10-8032-3311,163.641693,82.0105395,2022-07-01 14:53:05.269046
67,유한회사 이김서,제주특별자치도 보령시 서초대90로 (영환서면),2016,아파트,0,0,513,48.68,9,+82 10-7571-4319,-59.966468,13.500324,2022-06-28 16:00:18.318926
68,유한회사 김오황,서울특별시 강동구 삼성017가,2003,아파트,0,0,1101,30.15,6,+82 10-9872-1320,-75.752231,-64.487159,2022-10-17 12:51:36.333533
69,정이박,부산광역시 금천구 삼성23거리 (선영김읍),1997,원룸,0,26993,0,110.01,3,+82 10-7751-5301,74.820542,-45.4535165,2023-07-09 23:36:47.229615
70,(주) 김,강원도 청주시 서원구 봉은사91로 (정남박윤면),2020,아파트,486346,20691,0,29.05,7,+82 10-3749-0845,64.507465,32.845452,2024-03-22 05:51:02.401148
